title,notes,artist_id
"Sheet Music","",1
"Fantastic Allman Brothers","",2
"Chopin","",3
"Yesterdays","",4
"Help!","",5
"Abbey Road","",5
"Sgt. Pepper's Lonely Hearts Club Band","",5
"A Hard Day's Night","",5
"Greatest Hits","",5
"Rubber Soul","",5
"Revolver","",5
"White Album","",5
"Debussy: Images","",6
"Jump Back (Set Me Free)","",7
"Volcano","",8
"Chicken Crystal Silence","",9
"Panorama","",10
"Shake It Up","",10
"The Cars","",10
"Tiger Rag","",11
"Greatest Stories Live","",12
"Short Stories","",12
"Heads & Tales","",12
"On the Road to Kingdom Come","",12
"Living Room Suite","",12
"Verities & Balderdash","",12
"Legends of the Lost and Found","",12
"Living Room Suite","Duplicate copy",12
"Portrait Gallery","",12
"Verities & Balderdash","Duplicate copy",12
"Sniper and Other Love Songs","",12
"Dance Band on the Titanic","",12
"Greatest Stories Live","Duplicate copy",12
"Sequel","",12
"Guitar Monsters","",13
"Chester & Lester","",13
"In Ireland","",14
"Piano Music of Erik Satie","",15
"School Days","",16
"London Calling","",17
"The Bluegrass Session","",18
"Hillbilly Jazz","",18
"Hillybilly Jazz Rides Again","",18
"My Aim Is True","",19
"Crystal Castles","",20
"Discovery","",21
"The David Grisman Quintet","",22
"Me, Myself, and I","",23
"No Love Deep Web","",24
"Wrong Place, Wrong Time","",25
"Communique","",26
"Brothers in Arms","",26
"Making Movies","",26
"2001","",27
"The Chronic","",28
"I Am","",29
"Fixation","",30
"Kabuki & Other Traditional Music","",31
"The Earth Is Not a Cold Dead Place","",32
"Fleetwood Mac","",33
"Rumours","",33
"Fate for Breakfast","",34
"Closer To Home","",35
"We're An American Band","",35
"Grand Funk","",35
"On Time","",35
"Satin Doll","",36
"The Queen Elizabeth Hall London","",36
"Europe '72","",37
"Hot Dawg","",38
"Quintet '80","",38
"Concierto","",39
"Tous Les Garcons et Les Filles","",40
"Midnight Lightning","",41
"Axis: Bold as Love","",41
"Crash Landing","",41
"The Essential Jimi Hendrix","",41
"Electric Ladyland","",41
"It Happened One Bite","",42
"Music to be Murdered By","",43
"Solitude","",44
"If","",45
"Myths, Lies, and Hypocrites","",46
"Sonatas for Violin & Piano","",47
"Blow Your Face Out","",48
"Everything In Transit","",49
"Look Sharp","",50
"The Koln Concert","",51
"Living in the Past","",52
"Songs from the Wood","",52
"Aqualung","",52
"Thick as a Brick","",52
"A Passion Play","",52
"Stand Up","",52
"This Was","",52
"Benefit","",52
"Rickie Lee Jones","",53
"Pirates","",53
"Live in Las Vegas","",54
"Greatest Hits","",55
"O.N.I.F.C.","",56
"1977 State Fair","",57
"1980 State Fair","",57
"The Immortal","",58
"Get the Knack","",59
"Local Hero","",60
"Autobahn","",61
"House of the Holy","",62
"Led Zeppelin III","",62
"Led Zeppelin","",62
"Physical Graffiti","",62
"Led Zeppelin II","",62
"Feats Don't Fail Me Now","",63
"Let It Roll","",63
"The Last Record Album","",63
"Waiting for Columbus","",63
"Down on the Farm","",63
"The Lonely Bull","",64
"Champagne","",65
"Blood Mountain","",66
"Blue","",67
"Court and Spark","",67
"Miles of Aisles","",67
"Every Good Boy Deserves Favour","",68
"On the Threshold of a Dream","",68
"Greatest Hits","",69
"Love Dog","",70
"Chopin: The Complete Nocturnes","",71
"The Very Best of Roy Orbison","",72
"Aquemini","",73
"Comin' At Ya","",74
"Satch and Josh…. Again","",75
"Satch and Josh","",75
"The Wall","",76
"Animals","",76
"Dark Side of the Moon","",76
"Poco Cantamos","",77
"Synchronicity","",78
"Reggatta de Blanc","",78
"Chopin: Etudes OP. 10 & OP. 25","",79
"Chopin: 24 Preludes OP. 28","",79
"Pretenders II","",80
"Floating Petals…","",81
"Happy Trails","",82
"Pablo Honey","",83
"Classics","",84
"LP4","",84
"Ratatat","",84
"Magnifique","",84
"Merchants Lunch","",85
"Novella","",86
"Rootboy Slim & the Sex ChangeBand with The Rootettes","",87
"Zoom","",87
"The Brahms I Love","",88
"Chopin: The Mazurkas","",88
"Choping Sonatas","",88
"Moonlight Sonata","",88
"Santana","",89
