name,album_title,notes
10cc,Sheet Music,
Allman Brothers,Fantastic Allman Brothers,
"Ax, Emanuel",Chopin,
"Barbieri, Gato",Yesterdays,
The Beatles,Help!,
The Beatles,Abbey Road,
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,
The Beatles,A Hard Day's Night,
The Beatles,Greatest Hits,
The Beatles,Rubber Soul,
The Beatles,Revolver,
The Beatles,White Album,
"Benedetti Michelangeli, Arturo",Debussy: Images,
"Braxton, Dhar",Jump Back (Set Me Free),
"Buffet, Jimmy",Volcano,
"Burton, Gary & Corea, Chicken",Crystal Silence,
The Cars,Panorama,
The Cars,Shake It Up,
The Cars,The Cars,
"Castle, Jo Ann",Tiger Rag,
"Chapin, Harry",Greatest Stories Live,
"Chapin, Harry",Short Stories,
"Chapin, Harry",Heads & Tales,
"Chapin, Harry",On the Road to Kingdom Come,
"Chapin, Harry",Living Room Suite,
"Chapin, Harry",Verities & Balderdash,
"Chapin, Harry",Legends of the Lost and Found,
"Chapin, Harry",Living Room Suite,Duplicate copy
"Chapin, Harry",Portrait Gallery,
"Chapin, Harry",Verities & Balderdash,Duplicate copy
"Chapin, Harry",Sniper and Other Love Songs,
"Chapin, Harry",Dance Band on the Titanic,
"Chapin, Harry",Greatest Stories Live,Duplicate copy
"Chapin, Harry",Sequel,
Chester & Lester,Guitar Monsters,
Chester & Lester,Chester & Lester,
The Chieftains,In Ireland,
"Ciccolini, Aldo",Piano Music of Erik Satie,
"Clarke, Stanley",School Days,
The Clash,London Calling,
"Clements, Vassar",The Bluegrass Session,
"Clements, Vassar",Hillbilly Jazz,
"Clements, Vassar",Hillybilly Jazz Rides Again,
"Costello, Elvis",My Aim Is True,
Crystal Castles,Crystal Castles,
Daft Punk,Discovery,
The David Grisman Quintet,The David Grisman Quintet,
De La Soul,"Me, Myself, and I",
Death Grips,No Love Deep Web,
Del the Funky Homo Sapien,"Wrong Place, Wrong Time",
Dire Straits,Communique,
Dire Straits,Brothers in Arms,
Dire Straits,Making Movies,
Dr. Dre,2001,
Dr. Dre,The Chronic,
"Earth, Wind, & Fire",I Am,
"Ellis Orrall, Robert",Fixation,
Ensemble Nipponia,Kabuki & Other Traditional Music,
Explosions in the Sky,The Earth Is Not a Cold Dead Place,
Fleetwood Mac,Fleetwood Mac,
Fleetwood Mac,Rumours,
"Garfunkel, Art",Fate for Breakfast,
Grand Funk Railroad,Closer To Home,
Grand Funk Railroad,We're An American Band,
Grand Funk Railroad,Grand Funk,
Grand Funk Railroad,On Time,
"Grappelli, Stephane",Satin Doll,
"Grappelli, Stephane",The Queen Elizabeth Hall London,
Grateful Dead,Europe '72,
"Grisman, David",Hot Dawg,
"Grisman, David",Quintet '80,
"Hall, Jim",Concierto,
"Hardy, Francoise",Tous Les Garcons et Les Filles,
"Hendrix, Jimi",Midnight Lightning,
"Hendrix, Jimi",Axis: Bold as Love,
"Hendrix, Jimi",Crash Landing,
"Hendrix, Jimi",The Essential Jimi Hendrix,
"Hendrix, Jimi",Electric Ladyland,
"Hicks, Dan",It Happened One Bite,
"Hitchcock, Alfred",Music to be Murdered By,
"Holiday, Billie",Solitude,
If,If,
The Infested,"Myths, Lies, and Hypocrites",
"Ives, Charles",Sonatas for Violin & Piano,
The J. Geils Band,Blow Your Face Out,
Jack's Mannequin,Everything In Transit,
"Jackson, Joe",Look Sharp,
"Jarrett, Keith",The Koln Concert,
Jethro Tull,Living in the Past,
Jethro Tull,Songs from the Wood,
Jethro Tull,Aqualung,
Jethro Tull,Thick as a Brick,
Jethro Tull,A Passion Play,
Jethro Tull,Stand Up,
Jethro Tull,This Was,
Jethro Tull,Benefit,
"Jones, Rickie Lee",Rickie Lee Jones,
"Jones, Rickie Lee",Pirates,
"Jones, Tom",Live in Las Vegas,
Kenny Rogers & The First Edition,Greatest Hits,
"Khalifa, Wiz",O.N.I.F.C.,
The Kids from Wisconsin,1977 State Fair,
The Kids from Wisconsin,1980 State Fair,
"King Cole, Nat",The Immortal,
The Knack,Get the Knack,
"Knopfler, Mark",Local Hero,
Kraftwerk,Autobahn,
Led Zeppelin,House of the Holy,
Led Zeppelin,Led Zeppelin III,
Led Zeppelin,Led Zeppelin,
Led Zeppelin,Physical Graffiti,
Led Zeppelin,Led Zeppelin II,
Little Feat,Feats Don't Fail Me Now,
Little Feat,Let It Roll,
Little Feat,The Last Record Album,
Little Feat,Waiting for Columbus,
Little Feat,Down on the Farm,
The Lonely Bull,Herb Alpert & the Tijuana Brass,
"Longmire, Wilbert",Champagne,
Mastodon,Blood Mountain,
"Mitchell, Joni",Blue,
"Mitchell, Joni",Court and Spark,
"Mitchell, Joni",Miles of Aisles,
The Moody Blues,Every Good Boy Deserves Favour,
The Moody Blues,On the Threshold of a Dream,
Mott the Hoople,Greatest Hits,
"Nardini, Norman",Love Dog,
"Ohlsson, Garrick",Chopin: The Complete Nocturnes,
"Orbison, Roy",The Very Best of Roy Orbison,
Outkast,Aquemini,
The Persuasions,Comin' At Ya,
"Peterson, Oscar and Count Basie",Satch and Josh…. Again,
"Peterson, Oscar and Count Basie",Satch and Josh,
Pink Floyd,The Wall,
Pink Floyd,Animals,
Pink Floyd,Dark Side of the Moon,
Poco Cantamos,Poco Cantamos,
The Police,Synchronicity,
The Police,Reggatta de Blanc,
"Pollini, Maurizio",Chopin: Etudes OP. 10 & OP. 25,
"Pollini, Maurizio",Chopin: 24 Preludes OP. 28,
The Pretenders,Pretenders II,
"Pui-yuen, Lui",Floating Petals…,
The Quicksilver Messenger Service,Happy Trails,
Radiohead,Pablo Honey,
Ratatat,Classics,
Ratatat,LP4,
Ratatat,Ratatat,
Ratatat,Magnifique,
The Red Clay Ramblers,Merchants Lunch,
Renissance,Novella,
Rootboy Slim,Rootboy Slim & the Sex ChangeBand with The Rootettes,
Rootboy Slim,Zoom,
"Rubinstein, Artur",The Brahms I Love,
"Rubinstein, Artur",Chopin: The Mazurkas,
"Rubinstein, Artur",Choping Sonatas,
"Rubinstein, Artur",Moonlight Sonata,
Santana,Santana,
"Serkin, Peter",Peter Serkin Plays Chopin,
Sia,Music,
Sia,1000 Forms of Fear,
Simon and Garfunkel,Bridge Over Troubled Water,
Simon and Garfunkel,"Parsley, Sage, Rosemary, and Thyme",
"Simon, Paul",Still Crazy After All These Years,
"Simon, Paul",There Goes Rhymin' Simon,
The Smiths,Louder Than Bombs,
Spirit,The Family That Plays Together,
Steely Dan,Gaucho,
Steely Dan,Greatest Hits,
Steely Dan,Katy Lied,
Steely Dan,Aja,
"Stevens, Cat",Greatest Hits,
"Stevens, Cat",Foreigner,
Tame Impala,Currents,
The Three Suns,At the Candlelight Café,
Traffic,Best of Traffic,
Traffic,John Barleycorn Must Die,
The Turtles,Happy Together,
Various,The Greatest Jazz Concert in the World,
Various,Dances of the Renaissance,
Various,Gothic and Renaissance Dances,
Various,West Side Story Soundtrack,
Various,20 Rockin' Originals,
Various,West Side Story Movie Soundtrack,
Various,The Sound of Music Soundtrack,
Various,Bach: The Complete Flute Sonatas,
"Waits, Tom",Small Change,
"Waits, Tom",Nighthawks at the Diner,
The Who,Who's Next,
"Williams, Vaughan",Vaughan Williams Concert,
"Yankovic, ""Weird Al""",In 3-D,
"Zappa, Frank",Hot Rats,
"Zappa, Frank",The Grand Wazoo,
